score,target,layer_id,scale,level,days,sample_count,mean_rank_ic,mean_spread,positive_day_rate
daily_underreaction_score,target_5m_mean_proxy,9,30m,B35,20,4589895,0.05437316138393078,0.0005740936,1.0
daily_underreaction_score,target_5m_mean_proxy,8,15m,B50,20,4515925,0.05165244010217227,0.0005301248,1.0
daily_underreaction_score,target_5m_mean_proxy,8,15m,B35,20,4516848,0.05165124956724175,0.0005300202,1.0
daily_underreaction_score,target_5m_mean_proxy,8,30m,B50,20,4375004,0.05482008783600144,0.0006008793,1.0
daily_underreaction_score,target_5m_mean_proxy,8,30m,B35,20,4375211,0.05480869114034255,0.00060074666,1.0
daily_underreaction_score,target_5m_mean_proxy,6,15m,B50,20,4525992,0.05163969898845576,0.00052684697,1.0
daily_underreaction_score,target_5m_mean_proxy,6,15m,B35,20,4526726,0.051622380891501896,0.0005267573,1.0
daily_underreaction_score,target_5m_mean_proxy,6,30m,B50,20,4198978,0.0536027411142001,0.00059477723,1.0
daily_underreaction_score,target_5m_mean_proxy,6,30m,B35,20,4199368,0.05359713912811879,0.00059477345,1.0
daily_underreaction_score,target_5m_mean_proxy,3,15m,B50,20,4179944,0.052078890543360255,0.0005819049,1.0
daily_underreaction_score,target_5m_mean_proxy,3,15m,B35,20,4181690,0.05209311654400968,0.0005817321,1.0
daily_underreaction_score,target_5m_mean_proxy,3,30m,B50,20,3242695,0.05929747493605397,0.00065537146,1.0
daily_underreaction_score,target_5m_mean_proxy,3,30m,B35,20,3249642,0.05919985736071452,0.00065434247,1.0
daily_underreaction_score,target_5m_mean_proxy,11,15m,B50,20,2998968,0.05654158401298979,0.0006550466,1.0
daily_underreaction_score,target_5m_mean_proxy,11,15m,B35,20,3025307,0.056551119756032275,0.00065435807,1.0
daily_underreaction_score,target_5m_mean_proxy,11,30m,B50,20,3067719,0.05675164377499866,0.0006784429,1.0
daily_underreaction_score,target_5m_mean_proxy,11,30m,B35,20,3068880,0.05672377820185446,0.00067838415,1.0
daily_underreaction_score,target_15m_mean_proxy,9,15m,B50,20,3528233,0.05497879355770047,0.0007354403,0.95
daily_underreaction_score,target_15m_mean_proxy,9,15m,B35,20,3597873,0.05480954901078726,0.00073260104,0.95
daily_underreaction_score,target_15m_mean_proxy,9,30m,B50,20,4453396,0.06036035661652979,0.00085906946,0.95
daily_underreaction_score,target_15m_mean_proxy,9,30m,B35,20,4454418,0.06033836046480543,0.00085898925,0.95
daily_underreaction_score,target_15m_mean_proxy,8,15m,B50,20,4382710,0.05591578386899979,0.0007745029,0.9
daily_underreaction_score,target_15m_mean_proxy,8,15m,B35,20,4383632,0.05591995733781933,0.0007744689,0.9
daily_underreaction_score,target_15m_mean_proxy,8,30m,B50,20,4245427,0.06113122231103992,0.0008904327,0.95
daily_underreaction_score,target_15m_mean_proxy,8,30m,B35,20,4245634,0.061112785134257774,0.00089030934,0.95
daily_underreaction_score,target_15m_mean_proxy,6,15m,B50,20,4392592,0.055029179823750676,0.000777165,0.95
daily_underreaction_score,target_15m_mean_proxy,6,15m,B35,20,4393327,0.05501203644802412,0.0007768467,0.95
daily_underreaction_score,target_15m_mean_proxy,6,30m,B50,20,4076101,0.05901112463693701,0.0008808173,0.95
daily_underreaction_score,target_15m_mean_proxy,6,30m,B35,20,4076492,0.05900725463753621,0.00088069716,0.95
daily_underreaction_score,target_15m_mean_proxy,3,15m,B50,20,4049301,0.05757166602889992,0.00088349654,0.95
daily_underreaction_score,target_15m_mean_proxy,3,15m,B35,20,4051044,0.057581640224495446,0.000883002,0.95
daily_underreaction_score,target_15m_mean_proxy,3,30m,B50,20,3139841,0.06885047940287982,0.0010628406,1.0
daily_underreaction_score,target_15m_mean_proxy,3,30m,B35,20,3146778,0.06864880449964134,0.0010599357,1.0
daily_underreaction_score,target_15m_mean_proxy,11,15m,B50,20,2903400,0.061707358167066885,0.0009956636,1.0
daily_underreaction_score,target_15m_mean_proxy,11,15m,B35,20,2928982,0.06163288342824447,0.0009947934,1.0
daily_underreaction_score,target_15m_mean_proxy,11,30m,B50,20,2969383,0.06325456986284413,0.001048325,1.0
daily_underreaction_score,target_15m_mean_proxy,11,30m,B35,20,2970544,0.06318635539131395,0.0010478024,1.0
daily_underreaction_score,target_30m_mean_proxy,9,15m,B50,20,3371738,0.05010594442559922,0.0008006619,0.9
daily_underreaction_score,target_30m_mean_proxy,9,15m,B35,20,3437833,0.049931844513622335,0.00079825585,0.9
daily_underreaction_score,target_30m_mean_proxy,9,30m,B50,20,4257787,0.053569480216088906,0.0009099012,0.9
daily_underreaction_score,target_30m_mean_proxy,9,30m,B35,20,4258811,0.0535299424146479,0.00090902316,0.9
daily_underreaction_score,target_30m_mean_proxy,8,15m,B50,20,4188686,0.05040803782237122,0.0008329235,0.9
daily_underreaction_score,target_30m_mean_proxy,8,15m,B35,20,4189609,0.05039858912612653,0.00083249743,0.9
daily_underreaction_score,target_30m_mean_proxy,8,30m,B50,20,4059013,0.05428110747793079,0.00093511026,0.9
daily_underreaction_score,target_30m_mean_proxy,8,30m,B35,20,4059220,0.05426852011501726,0.00093511585,0.9
daily_underreaction_score,target_30m_mean_proxy,6,15m,B50,20,4197694,0.04948922879157538,0.0008240696,0.9
daily_underreaction_score,target_30m_mean_proxy,6,15m,B35,20,4198426,0.04946377542572185,0.0008237523,0.9
daily_underreaction_score,target_30m_mean_proxy,6,30m,B50,20,3898945,0.05310705319738339,0.0009544961,0.9
daily_underreaction_score,target_30m_mean_proxy,6,30m,B35,20,3899335,0.053100584865145836,0.00095437316,0.9
daily_underreaction_score,target_30m_mean_proxy,3,15m,B50,20,3864763,0.05144943285559815,0.00092200655,0.9
daily_underreaction_score,target_30m_mean_proxy,3,15m,B35,20,3866505,0.05146371903730218,0.0009220517,0.9
daily_underreaction_score,target_30m_mean_proxy,3,30m,B50,20,2998812,0.06111844879869801,0.0011029104,0.9
daily_underreaction_score,target_30m_mean_proxy,3,30m,B35,20,3005751,0.06099734363485861,0.0011004471,0.9
daily_underreaction_score,target_30m_mean_proxy,11,15m,B50,20,2756085,0.055329516073996665,0.0010371928,0.9
daily_underreaction_score,target_30m_mean_proxy,11,15m,B35,20,2781046,0.055219936081007205,0.001033271,0.9
daily_underreaction_score,target_30m_mean_proxy,11,30m,B50,20,2832873,0.055844123132020154,0.001090539,0.9
daily_underreaction_score,target_30m_mean_proxy,11,30m,B35,20,2834030,0.05579942544578982,0.0010907011,0.9
daily_underreaction_score,target_60m_mean_proxy,9,15m,B50,20,3063031,0.039023948595312316,0.0007399259,0.85
daily_underreaction_score,target_60m_mean_proxy,9,15m,B35,20,3123393,0.039107427865495294,0.0007453763,0.85
daily_underreaction_score,target_60m_mean_proxy,9,30m,B50,20,3877245,0.04150981234733052,0.0008269517,0.85
daily_underreaction_score,target_60m_mean_proxy,9,30m,B35,20,3878268,0.041483716661861646,0.00082599325,0.85
daily_underreaction_score,target_60m_mean_proxy,8,15m,B50,20,3809145,0.03932583666715079,0.00079682155,0.85
daily_underreaction_score,target_60m_mean_proxy,8,15m,B35,20,3810068,0.03932477724557772,0.00079643505,0.85
daily_underreaction_score,target_60m_mean_proxy,8,30m,B50,20,3692721,0.042112492062048895,0.00087205105,0.85
daily_underreaction_score,target_60m_mean_proxy,8,30m,B35,20,3692928,0.04209695586394297,0.0008714482,0.85
daily_underreaction_score,target_60m_mean_proxy,6,15m,B50,20,3818416,0.0387468185395888,0.00076292304,0.85
daily_underreaction_score,target_60m_mean_proxy,6,15m,B35,20,3819149,0.03874104839521204,0.00076268835,0.85
daily_underreaction_score,target_60m_mean_proxy,6,30m,B50,20,3552496,0.04113135165601988,0.00087409775,0.85
daily_underreaction_score,target_60m_mean_proxy,6,30m,B35,20,3552886,0.04112969594781311,0.0008738404,0.85
daily_underreaction_score,target_60m_mean_proxy,3,15m,B50,20,3511582,0.039783926492883516,0.00087121717,0.85
daily_underreaction_score,target_60m_mean_proxy,3,15m,B35,20,3513324,0.03978700060846613,0.0008704752,0.85
daily_underreaction_score,target_60m_mean_proxy,3,30m,B50,20,2718118,0.04826964379157882,0.0010581076,0.9
daily_underreaction_score,target_60m_mean_proxy,3,30m,B35,20,2724891,0.04821051584198186,0.0010561858,0.9
daily_underreaction_score,target_60m_mean_proxy,11,15m,B50,20,2481185,0.04251443167339581,0.0009712196,0.8
daily_underreaction_score,target_60m_mean_proxy,11,15m,B35,20,2504732,0.04248007598365512,0.0009672415,0.8
daily_underreaction_score,target_60m_mean_proxy,11,30m,B50,20,2571519,0.044665547202348665,0.0010759158,0.85
daily_underreaction_score,target_60m_mean_proxy,11,30m,B35,20,2572647,0.044619091198744486,0.0010758163,0.85
daily_consensus_score,target_5m_mean_proxy,9,15m,B50,20,3679818,0.0096756959917445,8.662834e-05,0.7
daily_consensus_score,target_5m_mean_proxy,9,15m,B35,20,3758967,0.009897339579233513,8.969903e-05,0.65
daily_consensus_score,target_5m_mean_proxy,9,30m,B50,20,4658919,0.0104395702812724,9.455129e-05,0.85
daily_consensus_score,target_5m_mean_proxy,9,30m,B35,20,4661052,0.010426786848613315,9.4577284e-05,0.85
daily_consensus_score,target_5m_mean_proxy,8,15m,B50,20,4579285,0.011259378360328661,0.00010329161,0.75
daily_consensus_score,target_5m_mean_proxy,8,15m,B35,20,4586808,0.011254705085260677,0.00010355153,0.75
daily_consensus_score,target_5m_mean_proxy,8,30m,B50,20,4443813,0.011271899478956845,0.000109953515,0.85
